Product_Code,Product_Name,Location_ID,Wide,High,Deep,X_SIZE,Y_SIZE,Z_SIZE,Height,Width,Depth,Full_height,Full_width,Full_depth,Location
3700035762,DOWNY April Fresh 60 load 51 oz,116,3,1,6,0.00 in,63.00 in,2.80 in,10.79 in,16.41 in,22.20 in,10.79 in,5.47 in,3.70 in,5
3700075488,Downy Cool Cotton 51 oz 60 load,117,2,1,6,16.41 in,63.00 in,2.74 in,10.78 in,10.94 in,22.26 in,10.78 in,5.47 in,3.71 in,5
3700039300,DOWNY LQ CB 8/51Z 60LD,118,2,1,6,27.35 in,63.00 in,2.74 in,10.78 in,10.94 in,22.26 in,10.78 in,5.47 in,3.71 in,5
3700039686,DOWNY LQSCP FREE&GNTL 8/51Z 60LD,119,2,1,6,38.29 in,63.00 in,2.74 in,10.78 in,10.94 in,22.26 in,10.78 in,5.47 in,3.71 in,5
3700058524,Downy Defy Damage Fresh,120,1,1,5,49.23 in,63.00 in,2.05 in,5.67 in,7.18 in,22.95 in,5.67 in,7.18 in,4.59 in,5
3700058532,Downy Defy Floral,121,1,1,5,56.41 in,63.00 in,2.05 in,5.67 in,7.18 in,22.95 in,5.67 in,7.18 in,4.59 in,5
3700074010,Downy LQ WrinkleGuard Fresh 71LD,122,1,1,5,63.59 in,63.00 in,3.05 in,11.10 in,7.44 in,21.95 in,11.10 in,7.44 in,4.39 in,5
3700080334,DOWNY LQ WRINKLE FRESH,123,1,1,5,71.03 in,63.00 in,2.50 in,10.88 in,6.00 in,22.50 in,10.88 in,6.00 in,4.50 in,5
3700052408,Downy Wrinkle Spray 9.7oz,124,2,1,10,77.03 in,63.00 in,1.40 in,9.30 in,4.72 in,23.60 in,9.30 in,2.36 in,2.36 in,5
3700090835,DOWNY WRINKLE SHEETS 50 CT,125,1,1,10,81.75 in,63.00 in,1.00 in,7.09 in,4.29 in,24.00 in,7.09 in,4.29 in,2.40 in,5
3700070014,DOWNY LQ WRINKLE floral  64 oz,126,1,1,5,86.04 in,63.00 in,2.50 in,10.88 in,6.00 in,22.50 in,10.88 in,6.00 in,4.50 in,5
3700099929,Gain LFE Original 60Ld,127,2,1,6,92.04 in,63.00 in,2.80 in,11.10 in,10.94 in,22.20 in,11.10 in,5.47 in,3.70 in,5
3700098440,Gain LFE Moonlight Breeze 60Ld,128,1,1,6,102.98 in,63.00 in,2.80 in,11.10 in,5.47 in,22.20 in,11.10 in,5.47 in,3.70 in,5
3700086324,Gain LFE Blissful Breeze 60Ld,129,1,1,6,108.45 in,63.00 in,2.80 in,11.10 in,5.47 in,22.20 in,11.10 in,5.47 in,3.70 in,5
3700077753,Gain LFE Island Fresh 60Ld,130,1,1,6,113.92 in,63.00 in,2.80 in,11.10 in,5.47 in,22.20 in,11.10 in,5.47 in,3.70 in,5
GainPink51,Gain Spring Daydream LFE,131,1,1,8,119.39 in,63.00 in,1.00 in,11.10 in,5.47 in,24.00 in,11.10 in,5.47 in,3.00 in,5
7261345195,SNUGGLE LQ EXHIL WHITE LAVENDER & SANDAL,132,2,1,9,124.86 in,63.00 in,0.70 in,10.05 in,10.00 in,24.30 in,10.05 in,5.00 in,2.70 in,5
7261346303,SNUGGLE PLUS SUPERFRESH 9 32 OZ 46303,133,2,1,10,134.86 in,63.00 in,0.00 in,9.75 in,10.00 in,25.00 in,9.75 in,5.00 in,2.50 in,5
3700073973,Downy LQ April Fresh 190LD,88,1,1,4,-0.25 in,49.00 in,0.60 in,11.08 in,9.20 in,24.40 in,11.08 in,9.20 in,6.10 in,4
3700067212,Downy AF 174 Ld,89,2,1,4,8.95 in,49.00 in,1.00 in,10.94 in,18.40 in,24.00 in,10.94 in,9.20 in,6.00 in,4
3700067307,DOWNY LQ CC 174,90,2,1,4,27.35 in,49.00 in,1.00 in,10.94 in,18.40 in,24.00 in,10.94 in,9.20 in,6.00 in,4
3700073996,Downy LQ Clean Breeze 190LD,91,1,1,4,45.75 in,49.00 in,0.60 in,11.08 in,9.20 in,24.40 in,11.08 in,9.20 in,6.10 in,4
3700031826,DOWNY LQ FREE&GNTL 4/129Z 150LD,92,2,1,5,54.95 in,49.00 in,2.20 in,11.55 in,18.18 in,22.80 in,11.55 in,9.09 in,4.56 in,4
3700082851,Downy Infusions Calm 150LD,93,1,1,4,73.13 in,49.00 in,3.28 in,11.43 in,7.36 in,21.72 in,11.43 in,7.36 in,5.43 in,4
3700021074,DWY LFE INF LVDR  83LD CALM 56 oz Lavender & Vanilla Bean,94,1,1,6,80.49 in,49.00 in,2.56 in,11.16 in,6.30 in,22.44 in,11.16 in,6.30 in,3.74 in,4
3700098791,DOWNY CALM 48 LOAD 32 oz Lavender & Vanilla Bean,95,1,1,7,86.79 in,49.00 in,3.02 in,10.75 in,5.32 in,21.98 in,10.75 in,5.32 in,3.14 in,4
3700076336,DWY INF LAV SERENITY 14.8 oz,96,1,1,6,92.11 in,49.00 in,3.04 in,10.12 in,3.66 in,21.96 in,10.12 in,3.66 in,3.66 in,4
3700083561,DWY SHT INF LVNDR SRNTY 9/105CT,97,1,1,10,95.77 in,49.00 in,1.00 in,7.09 in,4.29 in,24.00 in,7.09 in,4.29 in,2.40 in,4
3700082860,Gain LFE Orignal 190LD,98,1,1,4,100.06 in,49.00 in,0.60 in,11.08 in,9.20 in,24.40 in,11.08 in,9.20 in,6.10 in,4
3700068206,GAIN LQ FABRIC SOFTENER ORIG FRSH 174LD,99,1,1,5,109.26 in,49.00 in,2.20 in,11.96 in,9.70 in,22.80 in,11.96 in,9.70 in,4.56 in,4
