IX_Position,Row,UPC,Name,Wide,High,Deep,X,Y,Z,Full height,Full width,Full depth
127,127,3700086301,GAIN SHT BLISSFUL BREEZE  120 CT,1,2,10,232.91,28,0.8,4.29,7.09,2.42
128,128,3700065171,Downy LQ Intense Wildflower Blossom,1,1,6,0,21.5,0.52,11.39,6.61,4.08
129,129,3700067307,DOWNY LQ CC 174,1,1,5,6.61,21.5,2.5,11.83,9.7,4.5
130,130,037000759430,Downy Cool Cotton 150  load 129 oz,2,1,5,16.31,21.5,2.2,11.96,9.09,4.56
131,131,3700075490,DOWNY LQ Cool Cotton 4/90Z 105LD,1,1,5,34.49,21.5,0,10.88,7,5
132,132,3700031826,DOWNY LQ FREE&GNTL 4/129Z 150LD,1,1,5,41.49,21.5,2.2,11.55,9.09,4.56
133,133,3700029516,DOWNY LQ FREE&GNTL 4/90Z 105LD,2,1,4,50.58,21.5,3.28,11.02,7.36,5.43
134,134,3700039686,DOWNY LQSCP FREE&GNTL 8/51Z 60LD,1,1,6,65.3,21.5,2.74,10.78,5.47,3.71
135,135,3700076126,Downy Naturals Honey Lav 44Z 52LD,1,1,7,70.77,21.5,0.5,10.75,5,3.5
136,136,3700075791,Gain Botanicals HE Orange Blossom Vanilla 44 oz 52 loads,1,1,7,75.77,21.5,0.5,10.75,5,3.5
137,137,GainFE-EOLav25,Gain Essential Oil LFE Lavender,1,1,7,80.77,21.5,0.5,9.59,5.1,3.5
138,138,GainFE-EOEuc25,Gain Essential Oil LFE Eucalyptus,1,1,7,85.87,21.5,0.5,9.59,5.1,3.5
139,139,3700048164,GAIN LFE FIERCELY FRESH 4/81Z 120LD,1,1,6,90.97,21.5,1,11,6,4
140,140,3700048165,GAIN LFE MIDNIGHT BLOOM 4/81Z 120LD,1,1,6,96.97,21.5,1,11,6,4
141,141,3700077754,GAIN LFE IF 4/129Z 150LD,1,1,5,102.97,21.5,2.2,11.96,9.09,4.56
142,142,3700077752,Gain FE Island Fresh 48 LD,1,1,7,112.06,21.5,2.95,11.18,5.32,3.15
143,143,3500045022,SUAVITEL COMPLETE FF 120,2,1,4,117.38,21.5,3.2,12.3,8,5.45
144,144,3500039323,SUAV Complete FF 40,1,1,8,133.38,21.5,1,12,5,3
145,145,3500039324,44 OZ SVTL CM LQ N-CON MRNG SN 003500039324,1,1,8,138.38,21.5,1,12,5.3,3
146,146,3700086254,GAIN FE FIREWORKS BLISSFUL BREEZE  14.8,1,1,6,144,21,3.22,9.75,3.732308,3.63
147,147,3700086206,GAIN FE FIREWORKS BLISSFUL BREEZE  7.2 OZ,1,1,8,147.732308,21,1,8.03,3.102308,3
148,148,3700077627,GAIN IF beads 14.8,1,1,6,150.834615,21,3.22,9.75,3.732308,3.63
149,149,3700079483,Gain IF bead 7.2 oz,1,1,8,154.566923,21,1,9,3.102308,3
150,150,GainFwkSD20-1,Gain Fireworks Spring Daydream,1,1,6,157.669231,21,3.04,10.91,3.762308,3.66
151,151,GainPink14-8,Gain Fireworks Barbie,1,1,6,161.431538,21,3.04,10.12,3.762308,3.66
152,152,GainPink7-2,Gain Fireworks Pink,1,1,8,165.193846,21,0.76,8.03,3.132308,3.03
153,153,3700076342,GAIN FE FIREWORKS MB 14.8,1,1,6,168.326154,21,3.04,10.12,3.762308,3.66
